ACTION_1_PREDICTION,ACTION_0_PREDICTION,ACTION_PREDICTION,THRESHOLD,POSITIVE_CLASS,ACTION,RESOURCE,MGR_ID,ROLE_ROLLUP_1,ROLE_ROLLUP_2,ROLE_DEPTNAME,ROLE_TITLE,ROLE_FAMILY_DESC,ROLE_FAMILY,ROLE_CODE
0.9982641339,0.0017358661,1,0.5,1,1,39353,85475,117961,118300,123472,117905,117906,290919,117908
0.9953117371,0.0046882629,1,0.5,1,1,17183,1540,117961,118343,123125,118536,118536,308574,118539
0.9163900614,0.0836099386,1,0.5,1,1,36724,14457,118219,118220,117884,117879,267952,19721,117880
0.9852055907,0.0147944093,1,0.5,1,1,36135,5396,117961,118343,119993,118321,240983,290919,118322
0.9543629885,0.0456370115,1,0.5,1,1,42680,5905,117929,117930,119569,119323,123932,19793,119325
0.9214120507,0.0785879493,1,0.5,1,0,45333,14561,117951,117952,118008,118568,118568,19721,118570
0.9752967358,0.0247032642,1,0.5,1,1,25993,17227,117961,118343,123476,118980,301534,118295,118982
0.9949190021,0.0050809979,1,0.5,1,1,19666,4209,117961,117969,118910,126820,269034,118638,126822
0.9919106364,0.0080893636,1,0.5,1,1,31246,783,117961,118413,120584,128230,302830,4673,128231
0.9964080453,0.0035919547,1,0.5,1,1,78766,56683,118079,118080,117878,117879,304519,19721,117880
0.997685194,0.002314806,1,0.5,1,1,4675,3005,117961,118413,118481,118784,117906,290919,118786
0.9941133857,0.0058866143,1,0.5,1,1,15030,94005,117902,118041,119238,119093,138522,119095,119096
0.9829315543,0.0170684457,1,0.5,1,1,79954,46608,118315,118463,122636,120773,123148,118960,120774
0.9970220923,0.0029779077,1,0.5,1,1,4675,50997,91261,118026,118202,119962,168365,118205,119964
0.9245757461,0.0754242539,1,0.5,1,1,95836,18181,117961,118343,118514,118321,117906,290919,118322
0.9756161571,0.0243838429,1,0.5,1,1,19484,6657,118219,118220,118221,117885,117886,117887,117888
0.9652436376,0.0347563624,1,0.5,1,1,114267,23136,117961,118052,119742,118321,117906,290919,118322
